id,first_seen_frame,first_seen_sec
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
26,10,0.6
27,16,1.0
28,16,1.0
29,19,1.2
31,20,1.2666666666666666
36,23,1.4666666666666666
38,23,1.4666666666666666
39,23,1.4666666666666666
49,30,1.9333333333333333
56,34,2.2
57,35,2.2666666666666666
65,39,2.533333333333333
66,41,2.6666666666666665
71,50,3.2666666666666666
73,53,3.466666666666667
74,53,3.466666666666667
75,56,3.6666666666666665
79,68,4.466666666666667
80,68,4.466666666666667
85,76,5.0
86,82,5.4
90,94,6.2
93,109,7.2
97,117,7.733333333333333
98,117,7.733333333333333
100,119,7.866666666666666
105,122,8.066666666666666
110,127,8.4
114,133,8.8
116,134,8.866666666666667
127,143,9.466666666666667
134,152,10.066666666666666
135,153,10.133333333333333
136,153,10.133333333333333
137,156,10.333333333333334
145,167,11.066666666666666
153,183,12.133333333333333
163,192,12.733333333333333
170,217,14.4
172,220,14.6
174,222,14.733333333333333
175,223,14.8
180,229,15.2
181,230,15.266666666666667
182,230,15.266666666666667
188,236,15.666666666666666
190,237,15.733333333333333
191,238,15.8
196,245,16.266666666666666
202,250,16.6
203,250,16.6
206,261,17.333333333333332
207,262,17.4
208,265,17.6
211,268,17.8
216,276,18.333333333333332
217,280,18.6
220,285,18.933333333333334
221,285,18.933333333333334
222,289,19.2
225,297,19.733333333333334
228,302,20.066666666666666
245,322,21.4
247,323,21.466666666666665
248,324,21.533333333333335
252,327,21.733333333333334
253,327,21.733333333333334
259,332,22.066666666666666
262,335,22.266666666666666
263,338,22.466666666666665
268,340,22.6
270,344,22.866666666666667
274,350,23.266666666666666
279,357,23.733333333333334
280,357,23.733333333333334
285,364,24.2
289,369,24.533333333333335
291,371,24.666666666666668
294,374,24.866666666666667
296,377,25.066666666666666
297,377,25.066666666666666
302,382,25.4
305,388,25.8
307,390,25.933333333333334
311,400,26.6
312,402,26.733333333333334
313,405,26.933333333333334
317,416,27.666666666666668
319,419,27.866666666666667
323,423,28.133333333333333
327,427,28.4
329,428,28.466666666666665
331,433,28.8
332,437,29.066666666666666
337,448,29.8
338,452,30.066666666666666
339,452,30.066666666666666
340,456,30.333333333333332
344,470,31.266666666666666
349,477,31.733333333333334
351,485,32.266666666666666
353,487,32.4
354,490,32.6
360,498,33.13333333333333
366,506,33.666666666666664
368,507,33.733333333333334
374,515,34.266666666666666
375,516,34.333333333333336
384,522,34.733333333333334
386,524,34.86666666666667
387,526,35.0
389,528,35.13333333333333
391,529,35.2
392,529,35.2
395,534,35.53333333333333
397,538,35.8
398,540,35.93333333333333
400,542,36.06666666666667
405,550,36.6
409,555,36.93333333333333
410,556,37.0
411,560,37.266666666666666
420,567,37.733333333333334
422,568,37.8
424,570,37.93333333333333
426,575,38.266666666666666
429,580,38.6
430,581,38.666666666666664
431,581,38.666666666666664
432,582,38.733333333333334
438,592,39.4
447,599,39.86666666666667
449,599,39.86666666666667
453,602,40.06666666666667
455,605,40.266666666666666
456,605,40.266666666666666
460,608,40.46666666666667
466,614,40.86666666666667
470,617,41.06666666666667
474,623,41.46666666666667
477,626,41.666666666666664
478,627,41.733333333333334
481,629,41.86666666666667
485,631,42.0
486,632,42.06666666666667
489,635,42.266666666666666
490,636,42.333333333333336
494,644,42.86666666666667
495,646,43.0
502,652,43.4
503,653,43.46666666666667
514,659,43.86666666666667
515,659,43.86666666666667
518,665,44.266666666666666
520,668,44.46666666666667
521,671,44.666666666666664
525,679,45.2
530,682,45.4
531,682,45.4
537,689,45.86666666666667
542,691,46.0
544,692,46.06666666666667
557,702,46.733333333333334
572,711,47.333333333333336
577,717,47.733333333333334
580,720,47.93333333333333
581,726,48.333333333333336
582,728,48.46666666666667
586,733,48.8
595,739,49.2
599,742,49.4
605,755,50.266666666666666
606,755,50.266666666666666
611,759,50.53333333333333
612,759,50.53333333333333
614,760,50.6
616,762,50.733333333333334
617,762,50.733333333333334
618,763,50.8
621,765,50.93333333333333
623,766,51.0
626,769,51.2
631,779,51.86666666666667
634,782,52.06666666666667
639,794,52.86666666666667
643,797,53.06666666666667
649,811,54.0
651,813,54.13333333333333
652,813,54.13333333333333
655,822,54.733333333333334
657,824,54.86666666666667
665,840,55.93333333333333
669,850,56.6
672,857,57.06666666666667
673,857,57.06666666666667
675,858,57.13333333333333
676,858,57.13333333333333
677,858,57.13333333333333
680,861,57.333333333333336
681,861,57.333333333333336
683,866,57.666666666666664
686,871,58.0
690,878,58.46666666666667
692,880,58.6
693,881,58.666666666666664
697,884,58.86666666666667
698,885,58.93333333333333
703,889,59.2
706,892,59.4
707,896,59.666666666666664
710,905,60.266666666666666
711,911,60.666666666666664
712,911,60.666666666666664
713,911,60.666666666666664
714,916,61.0
715,916,61.0
718,919,61.2
722,925,61.6
724,929,61.86666666666667
726,930,61.93333333333333
727,930,61.93333333333333
728,935,62.266666666666666
732,937,62.4
734,939,62.53333333333333
736,944,62.86666666666667
742,956,63.666666666666664
743,960,63.93333333333333
748,963,64.13333333333334
750,965,64.26666666666667
751,971,64.66666666666667
752,973,64.8
755,977,65.06666666666666
767,986,65.66666666666667
768,986,65.66666666666667
769,990,65.93333333333334
772,997,66.4
775,1002,66.73333333333333
780,1010,67.26666666666667
787,1016,67.66666666666667
790,1025,68.26666666666667
791,1029,68.53333333333333
793,1039,69.2
796,1043,69.46666666666667
798,1049,69.86666666666666
800,1050,69.93333333333334
801,1052,70.06666666666666
802,1056,70.33333333333333
806,1066,71.0
808,1071,71.33333333333333
809,1071,71.33333333333333
812,1079,71.86666666666666
814,1080,71.93333333333334
815,1083,72.13333333333334
817,1086,72.33333333333333
818,1088,72.46666666666667
819,1090,72.6
821,1093,72.8
822,1094,72.86666666666666
824,1106,73.66666666666667
826,1107,73.73333333333333
827,1109,73.86666666666666
828,1122,74.73333333333333
832,1137,75.73333333333333
840,1155,76.93333333333334
848,1160,77.26666666666667
850,1161,77.33333333333333
854,1165,77.6
860,1169,77.86666666666666
863,1172,78.06666666666666
865,1176,78.33333333333333
869,1181,78.66666666666667
872,1183,78.8
878,1195,79.6
879,1197,79.73333333333333
881,1199,79.86666666666666
890,1203,80.13333333333334
892,1205,80.26666666666667
893,1211,80.66666666666667
894,1212,80.73333333333333
895,1214,80.86666666666666
896,1215,80.93333333333334
901,1217,81.06666666666666
902,1218,81.13333333333334
906,1221,81.33333333333333
915,1230,81.93333333333334
916,1230,81.93333333333334
919,1234,82.2
920,1235,82.26666666666667
921,1236,82.33333333333333
923,1237,82.4
925,1240,82.6
927,1243,82.8
929,1247,83.06666666666666
933,1248,83.13333333333334
934,1249,83.2
938,1253,83.46666666666667
940,1255,83.6
945,1259,83.86666666666666
946,1260,83.93333333333334
952,1267,84.4
958,1272,84.73333333333333
960,1274,84.86666666666666
964,1279,85.2
969,1288,85.8
972,1294,86.2
974,1298,86.46666666666667
975,1298,86.46666666666667
976,1299,86.53333333333333
980,1310,87.26666666666667
981,1314,87.53333333333333
987,1320,87.93333333333334
990,1324,88.2
991,1329,88.53333333333333
997,1334,88.86666666666666
998,1334,88.86666666666666
1005,1337,89.06666666666666
1013,1340,89.26666666666667
1014,1340,89.26666666666667
1020,1349,89.86666666666666
1027,1352,90.06666666666666
1030,1356,90.33333333333333
1036,1359,90.53333333333333
1042,1368,91.13333333333334
1044,1369,91.2
1049,1373,91.46666666666667
1054,1378,91.8
1057,1383,92.13333333333334
1062,1387,92.4
1063,1391,92.66666666666667
1064,1393,92.8
1070,1395,92.93333333333334
1075,1403,93.46666666666667
1078,1408,93.8
1081,1416,94.33333333333333
1083,1420,94.6
1085,1420,94.6
1087,1422,94.73333333333333
1089,1423,94.8
1096,1430,95.26666666666667
1097,1430,95.26666666666667
1099,1431,95.33333333333333
1101,1431,95.33333333333333
1104,1437,95.73333333333333
1109,1447,96.4
1113,1457,97.06666666666666
1114,1458,97.13333333333334
1115,1458,97.13333333333334
1117,1462,97.4
1119,1465,97.6
1120,1469,97.86666666666666
1122,1473,98.13333333333334
1125,1481,98.66666666666667
1126,1482,98.73333333333333
1127,1482,98.73333333333333
1131,1486,99.0
1135,1491,99.33333333333333
1137,1497,99.73333333333333
1147,1506,100.33333333333333
1153,1512,100.73333333333333
1156,1515,100.93333333333334
1161,1522,101.4
1170,1540,102.6
1174,1556,103.66666666666667
1175,1556,103.66666666666667
1178,1561,104.0
1181,1565,104.26666666666667
1183,1566,104.33333333333333
1185,1568,104.46666666666667
1189,1579,105.2
1192,1580,105.26666666666667
1194,1583,105.46666666666667
1196,1587,105.73333333333333
1198,1593,106.13333333333334
1201,1599,106.53333333333333
1203,1610,107.26666666666667
1204,1612,107.4
1209,1614,107.53333333333333
1212,1620,107.93333333333334
1216,1622,108.06666666666666
1217,1622,108.06666666666666
1218,1622,108.06666666666666
1226,1641,109.33333333333333
1228,1643,109.46666666666667
1230,1645,109.6
1232,1649,109.86666666666666
1233,1650,109.93333333333334
1238,1657,110.4
1239,1658,110.46666666666667
1240,1661,110.66666666666667
1243,1669,111.2
1244,1670,111.26666666666667
1246,1673,111.46666666666667
1249,1676,111.66666666666667
1251,1676,111.66666666666667
1259,1686,112.33333333333333
1262,1687,112.4
1264,1689,112.53333333333333
1268,1691,112.66666666666667
1273,1697,113.06666666666666
1278,1701,113.33333333333333
1279,1703,113.46666666666667
1282,1707,113.73333333333333
1285,1712,114.06666666666666
1288,1716,114.33333333333333
1289,1718,114.46666666666667
1291,1724,114.86666666666666
1293,1725,114.93333333333334
1296,1729,115.2
1298,1732,115.4
1304,1736,115.66666666666667
1312,1743,116.13333333333334
1315,1748,116.46666666666667
1322,1755,116.93333333333334
1334,1760,117.26666666666667
1336,1760,117.26666666666667
1337,1761,117.33333333333333
1342,1769,117.86666666666666
1344,1775,118.26666666666667
1345,1776,118.33333333333333
1346,1777,118.4
1350,1787,119.06666666666666
1354,1791,119.33333333333333
1355,1793,119.46666666666667
1356,1798,119.8
