id,first_seen_frame,first_seen_sec
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
20,5,0.13333333333333333
23,10,0.3
27,16,0.5
28,16,0.5
30,19,0.6
32,21,0.6666666666666666
35,23,0.7333333333333333
36,23,0.7333333333333333
37,23,0.7333333333333333
46,29,0.9333333333333333
52,31,1.0
54,32,1.0333333333333334
56,34,1.1
64,41,1.3333333333333333
69,44,1.4333333333333333
74,50,1.6333333333333333
76,53,1.7333333333333334
77,53,1.7333333333333334
78,56,1.8333333333333333
85,68,2.2333333333333334
86,68,2.2333333333333334
91,70,2.3
93,75,2.466666666666667
94,75,2.466666666666667
99,95,3.1333333333333333
101,108,3.566666666666667
103,108,3.566666666666667
106,117,3.8666666666666667
107,117,3.8666666666666667
109,120,3.966666666666667
113,122,4.033333333333333
117,127,4.2
125,134,4.433333333333334
136,144,4.766666666666667
138,145,4.8
144,152,5.033333333333333
145,153,5.066666666666666
146,153,5.066666666666666
147,156,5.166666666666667
154,160,5.3
158,167,5.533333333333333
160,168,5.566666666666666
162,171,5.666666666666667
166,177,5.866666666666666
171,182,6.033333333333333
172,183,6.066666666666666
181,192,6.366666666666666
184,203,6.733333333333333
188,216,7.166666666666667
191,221,7.333333333333333
194,223,7.4
195,223,7.4
198,227,7.533333333333333
204,230,7.633333333333334
213,236,7.833333333333333
219,239,7.933333333333334
221,240,7.966666666666667
223,245,8.133333333333333
226,245,8.133333333333333
227,246,8.166666666666666
230,250,8.3
235,256,8.5
237,262,8.7
238,265,8.8
240,267,8.866666666666667
245,276,9.166666666666666
247,284,9.433333333333334
248,285,9.466666666666667
249,288,9.566666666666666
253,300,9.966666666666667
254,302,10.033333333333333
258,306,10.166666666666666
271,320,10.633333333333333
273,322,10.7
282,327,10.866666666666667
283,327,10.866666666666667
288,333,11.066666666666666
292,335,11.133333333333333
295,337,11.2
301,339,11.266666666666667
304,341,11.333333333333334
305,341,11.333333333333334
309,345,11.466666666666667
314,350,11.633333333333333
318,354,11.766666666666667
320,356,11.833333333333334
322,357,11.866666666666667
329,364,12.1
331,366,12.166666666666666
337,371,12.333333333333334
339,374,12.433333333333334
341,375,12.466666666666667
344,378,12.566666666666666
346,381,12.666666666666666
349,382,12.7
351,388,12.9
353,390,12.966666666666667
360,400,13.3
362,402,13.366666666666667
364,405,13.466666666666667
369,417,13.866666666666667
370,419,13.933333333333334
376,423,14.066666666666666
380,427,14.2
381,428,14.233333333333333
382,433,14.4
383,437,14.533333333333333
387,449,14.933333333333334
389,452,15.033333333333333
390,452,15.033333333333333
391,455,15.133333333333333
396,470,15.633333333333333
403,479,15.933333333333334
407,485,16.133333333333333
408,486,16.166666666666668
409,490,16.3
415,501,16.666666666666668
421,506,16.833333333333332
422,507,16.866666666666667
427,514,17.1
428,515,17.133333333333333
429,515,17.133333333333333
430,516,17.166666666666668
437,522,17.366666666666667
439,524,17.433333333333334
441,526,17.5
444,528,17.566666666666666
447,529,17.6
449,534,17.766666666666666
450,535,17.8
452,542,18.033333333333335
454,545,18.133333333333333
456,548,18.233333333333334
459,556,18.5
462,560,18.633333333333333
470,567,18.866666666666667
471,567,18.866666666666667
472,568,18.9
477,577,19.2
479,581,19.333333333333332
480,581,19.333333333333332
481,582,19.366666666666667
488,592,19.7
495,599,19.933333333333334
497,600,19.966666666666665
502,606,20.166666666666668
506,607,20.2
507,608,20.233333333333334
510,613,20.4
513,615,20.466666666666665
517,617,20.533333333333335
523,623,20.733333333333334
524,624,20.766666666666666
526,627,20.866666666666667
528,629,20.933333333333334
529,630,20.966666666666665
531,631,21.0
533,633,21.066666666666666
537,635,21.133333333333333
539,636,21.166666666666668
546,647,21.533333333333335
551,651,21.666666666666668
560,657,21.866666666666667
565,666,22.166666666666668
567,667,22.2
570,672,22.366666666666667
571,672,22.366666666666667
575,679,22.6
576,681,22.666666666666668
579,687,22.866666666666667
582,689,22.933333333333334
589,692,23.033333333333335
596,698,23.233333333333334
598,699,23.266666666666666
622,715,23.8
626,717,23.866666666666667
629,717,23.866666666666667
633,721,24.0
635,728,24.233333333333334
641,734,24.433333333333334
654,739,24.6
657,742,24.7
663,755,25.133333333333333
664,755,25.133333333333333
669,759,25.266666666666666
670,759,25.266666666666666
671,760,25.3
676,763,25.4
678,765,25.466666666666665
680,766,25.5
683,770,25.633333333333333
685,779,25.933333333333334
686,780,25.966666666666665
691,795,26.466666666666665
694,797,26.533333333333335
702,811,27.0
705,813,27.066666666666666
706,814,27.1
711,818,27.233333333333334
713,824,27.433333333333334
721,840,27.966666666666665
722,843,28.066666666666666
727,851,28.333333333333332
729,857,28.533333333333335
731,857,28.533333333333335
733,858,28.566666666666666
735,858,28.566666666666666
737,861,28.666666666666668
738,861,28.666666666666668
739,862,28.7
746,871,29.0
749,878,29.233333333333334
752,880,29.3
755,881,29.333333333333332
760,884,29.433333333333334
762,885,29.466666666666665
765,887,29.533333333333335
768,892,29.7
769,896,29.833333333333332
772,905,30.133333333333333
775,911,30.333333333333332
776,911,30.333333333333332
777,911,30.333333333333332
778,915,30.466666666666665
779,916,30.5
781,919,30.6
782,920,30.633333333333333
783,921,30.666666666666668
786,924,30.766666666666666
788,929,30.933333333333334
790,930,30.966666666666665
792,933,31.066666666666666
793,935,31.133333333333333
800,939,31.266666666666666
802,942,31.366666666666667
803,945,31.466666666666665
